id,age,sex,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G3
864,16,F,U,LE3,A,4,2,health,teacher,reputation,mother,4,1,3,yes,yes,no,no,no,yes,no,no,4,3,7,5,4,4,14,9
865,18,M,U,LE3,T,3,1,at_home,at_home,course,other,1,2,3,no,no,yes,no,yes,no,no,no,3,4,5,4,3,4,19,20
866,15,M,R,GT3,A,1,1,at_home,at_home,course,father,4,2,4,yes,yes,no,yes,yes,yes,no,no,3,4,7,5,5,5,24,0.7
867,15,M,R,GT3,T,2,1,services,services,other,other,3,2,2,yes,yes,no,yes,yes,yes,no,yes,4,4,9,4,5,5,19,7
868,16,F,R,LE3,T,0,0,other,other,reputation,other,1,2,4,yes,yes,yes,yes,no,no,no,yes,1,4,7,4,4,5,24,1.7
869,17,F,R,GT3,A,0,4,teacher,other,other,father,2,10,0,no,no,no,no,yes,no,yes,no,1,1,9,3,2,5,2,20
870,16,F,U,LE3,A,0,0,teacher,at_home,home,father,3,2,2,yes,yes,no,yes,no,no,no,no,5,4,8,5,5,4,13,5
871,15,M,R,LE3,A,3,1,health,health,home,other,2,1,4,yes,yes,yes,no,no,no,no,no,3,1,6,5,5,4,29,2.8
872,18,F,U,LE3,A,1,2,teacher,at_home,reputation,father,3,1,4,yes,yes,yes,yes,yes,no,no,no,4,3,7,4,4,4,22,7
873,16,M,R,LE3,A,1,1,services,health,other,other,4,1,3,yes,yes,no,no,yes,yes,no,no,3,4,6,4,4,4,22,5.6
874,15,F,R,LE3,T,1,2,teacher,other,course,mother,2,9,0,yes,no,yes,no,yes,no,yes,no,3,2,8,1,1,3,0,20
875,16,M,R,LE3,T,2,4,health,at_home,other,father,2,3,0,yes,no,yes,yes,no,yes,yes,no,3,4,10,5,3,5,0,20
876,17,M,U,LE3,A,3,3,teacher,teacher,home,mother,1,5,1,no,no,yes,yes,yes,no,yes,no,5,5,6,0,4,1,1,20
877,16,M,R,GT3,T,0,2,other,health,other,father,1,1,3,yes,no,yes,yes,no,no,no,yes,4,3,6,5,3,4,19,2
878,16,F,R,LE3,A,2,0,at_home,health,home,other,4,1,3,yes,yes,no,yes,no,yes,no,yes,4,4,7,4,3,5,12,6
879,15,F,R,GT3,T,1,1,at_home,health,home,other,4,1,3,yes,yes,yes,no,yes,yes,no,no,5,4,3,5,4,4,17,7
880,15,F,U,GT3,T,0,1,at_home,other,other,other,2,4,1,yes,no,yes,yes,no,no,yes,yes,4,5,4,1,1,4,9,13.4
881,15,M,R,LE3,A,3,1,other,services,course,other,2,5,1,no,no,yes,no,no,no,yes,yes,1,3,8,1,1,2,9,13.9
882,16,M,R,GT3,A,4,2,services,teacher,home,other,4,1,2,yes,yes,no,no,yes,no,no,no,4,3,7,4,4,4,12,0
883,17,F,U,GT3,A,1,4,health,at_home,other,other,1,2,3,yes,yes,no,yes,yes,yes,no,no,5,4,5,5,4,4,20,8
884,18,F,U,GT3,T,1,2,other,health,home,father,1,8,0,no,no,yes,no,no,no,yes,no,2,3,10,3,3,4,1,20
885,18,F,R,LE3,A,1,0,health,other,reputation,father,4,2,2,yes,yes,yes,yes,yes,no,no,yes,3,3,5,5,5,5,23,2
886,15,M,R,LE3,A,1,1,services,health,course,mother,2,8,2,yes,no,yes,yes,no,yes,yes,yes,4,2,7,2,4,3,5,20
887,15,M,R,LE3,A,0,2,other,at_home,reputation,father,1,7,0,yes,no,yes,yes,no,no,no,yes,5,5,9,3,5,5,2,20
888,16,M,U,LE3,A,3,1,teacher,teacher,home,father,1,2,2,no,no,yes,yes,no,yes,no,yes,2,1,8,4,5,5,17,12.7
889,18,M,U,LE3,A,2,0,services,health,course,mother,4,2,3,yes,yes,no,no,no,no,no,no,4,4,5,5,3,4,13,8
890,15,M,U,GT3,A,0,3,at_home,other,other,mother,4,1,2,yes,yes,yes,yes,no,no,no,yes,2,4,5,4,5,5,29,2.5
891,17,F,R,GT3,T,3,3,other,other,other,other,2,5,1,yes,yes,yes,no,yes,yes,yes,yes,3,4,8,3,3,4,8,17.3
892,17,M,U,LE3,T,2,3,services,services,course,mother,2,10,1,no,yes,yes,no,yes,yes,yes,yes,2,1,11,3,3,4,0,20
893,15,M,R,GT3,T,1,1,services,other,reputation,mother,1,10,1,no,no,yes,yes,no,no,yes,yes,4,1,8,2,4,3,5,20
894,15,M,U,GT3,T,3,2,other,services,reputation,father,1,1,3,yes,yes,yes,yes,yes,no,no,yes,3,3,8,4,5,4,22,0.2
895,18,M,U,GT3,A,1,1,at_home,teacher,course,other,3,1,2,yes,no,no,no,yes,yes,no,no,4,3,7,4,5,4,14,1
896,18,M,U,GT3,A,3,4,at_home,at_home,other,mother,3,5,1,yes,yes,yes,no,yes,no,no,no,4,4,7,0,5,0,28,1.5
897,16,F,R,LE3,T,4,2,services,services,course,other,4,1,2,yes,yes,no,yes,yes,no,no,no,4,4,4,4,3,5,24,1
898,18,M,R,LE3,T,1,0,health,health,reputation,other,2,4,0,no,no,yes,no,no,no,yes,no,5,5,7,3,1,5,6,17.1
899,17,M,R,LE3,T,1,3,services,health,home,mother,3,2,3,no,yes,no,yes,no,yes,no,yes,3,4,7,5,5,4,19,5.1
900,17,M,R,GT3,A,1,2,other,at_home,other,mother,1,2,2,yes,yes,no,no,yes,yes,no,yes,3,3,8,5,2,4,11,5.1
901,15,F,U,GT3,A,0,2,other,other,course,mother,3,1,2,yes,yes,yes,no,no,no,no,no,3,4,4,3,4,5,1,2.4
902,18,F,R,LE3,A,2,3,other,health,home,mother,2,1,2,no,no,yes,no,no,yes,no,yes,1,2,8,4,5,5,21,13.7
903,16,F,U,LE3,T,1,0,at_home,services,reputation,other,3,1,4,no,yes,no,yes,no,no,no,yes,1,3,9,4,4,4,11,10
904,17,M,R,GT3,T,1,1,teacher,at_home,other,father,2,2,4,yes,yes,yes,no,no,yes,no,yes,5,2,8,5,4,4,27,19.9
905,17,F,R,LE3,T,0,1,other,health,course,other,2,2,2,yes,yes,no,yes,no,no,no,no,4,3,8,5,1,5,13,4
906,16,M,U,LE3,T,0,2,other,other,reputation,other,1,2,4,no,no,yes,no,yes,yes,no,no,4,3,7,5,4,4,25,8
907,16,M,U,GT3,T,4,3,health,other,course,other,3,5,0,yes,yes,no,no,no,yes,no,yes,3,3,5,3,3,5,27,0.1
908,17,F,R,GT3,A,3,4,health,health,course,mother,1,5,1,no,no,yes,no,no,no,yes,yes,3,1,6,3,4,4,26,20
909,17,M,R,LE3,A,1,0,services,at_home,other,mother,3,1,1,yes,yes,yes,yes,no,yes,yes,no,3,3,5,3,3,5,6,17.4
910,16,M,U,GT3,A,3,1,services,teacher,reputation,father,1,1,3,yes,yes,no,yes,yes,yes,no,no,4,4,8,4,3,4,29,9
911,17,M,U,LE3,A,0,0,services,health,reputation,father,2,8,1,yes,no,yes,yes,yes,no,yes,yes,3,3,9,5,3,5,5,20
912,15,F,U,GT3,A,0,0,other,other,home,father,1,8,0,yes,no,no,yes,no,no,yes,yes,3,5,6,3,5,4,3,20
913,15,M,U,GT3,T,4,0,health,teacher,reputation,other,4,1,3,yes,yes,no,no,no,no,no,yes,2,4,6,5,1,4,12,7.5
914,16,M,U,LE3,A,2,3,services,at_home,reputation,father,2,3,3,yes,yes,yes,no,yes,no,no,no,5,2,4,3,3,5,26,9
915,18,F,R,GT3,T,0,3,health,other,other,other,4,1,2,no,yes,yes,no,no,no,no,yes,3,3,3,5,4,4,22,0.9
916,16,M,R,LE3,A,1,3,other,at_home,home,mother,2,2,4,yes,yes,yes,no,yes,no,no,no,4,4,7,5,4,5,25,3
917,16,M,R,GT3,T,4,2,other,health,other,other,3,2,2,yes,yes,no,no,no,no,no,yes,3,4,8,5,5,5,21,2
918,18,F,R,LE3,T,2,3,services,at_home,reputation,mother,1,10,1,yes,no,no,yes,no,no,yes,yes,5,3,8,2,2,4,5,20
919,18,M,U,GT3,T,4,2,other,other,home,mother,2,6,0,no,no,yes,yes,no,no,yes,no,3,2,6,3,3,4,1,20
920,18,M,U,GT3,T,0,1,other,health,other,father,2,4,3,no,yes,no,yes,no,yes,no,no,3,3,6,3,4,4,10,11.6
921,15,M,U,LE3,T,2,1,health,other,home,mother,4,2,2,no,yes,no,no,yes,no,no,yes,3,3,6,4,3,5,15,4.3
922,17,M,R,GT3,T,3,1,teacher,other,reputation,father,3,2,4,yes,yes,no,no,no,yes,no,yes,4,4,8,4,4,5,17,4
923,15,M,U,LE3,A,2,1,at_home,teacher,home,father,3,2,4,yes,yes,yes,yes,yes,no,no,no,1,3,7,5,3,5,28,0.4
924,17,F,U,GT3,T,1,1,services,services,home,father,2,8,1,no,yes,yes,no,yes,yes,yes,yes,3,1,7,5,1,4,5,20
925,15,F,R,GT3,T,3,3,teacher,at_home,home,other,2,5,0,yes,no,yes,yes,yes,no,yes,yes,3,3,7,3,1,5,0,20
926,17,F,R,LE3,A,3,4,services,at_home,reputation,father,1,5,1,no,no,yes,no,yes,yes,yes,no,4,1,8,3,2,4,7,17.4
927,15,F,R,GT3,T,1,3,teacher,teacher,reputation,father,1,7,2,yes,yes,yes,yes,yes,yes,yes,no,2,2,8,5,4,5,24,20
928,18,M,U,GT3,A,3,4,other,at_home,home,mother,1,5,1,yes,yes,yes,yes,no,no,yes,no,5,5,7,0,2,3,7,20
929,16,M,U,LE3,A,0,3,services,teacher,other,other,4,2,4,yes,yes,yes,yes,yes,no,no,yes,4,4,6,4,5,4,25,4
930,15,M,R,GT3,T,2,1,teacher,at_home,other,father,3,1,2,yes,yes,yes,no,yes,no,no,yes,3,3,7,4,5,5,21,6.4
931,17,M,R,LE3,T,2,0,at_home,at_home,reputation,father,3,2,4,yes,yes,no,yes,no,no,no,yes,4,3,5,4,1,5,12,9
932,18,M,U,LE3,A,1,4,other,other,course,father,3,1,4,yes,yes,no,yes,yes,yes,no,no,4,4,5,4,1,5,15,6
933,15,F,R,LE3,T,0,0,services,teacher,other,mother,4,1,3,yes,yes,no,yes,yes,yes,no,yes,5,3,6,3,4,4,9,8
934,15,F,U,GT3,A,3,1,services,at_home,home,mother,4,1,2,yes,yes,no,no,no,no,no,no,5,4,5,3,4,4,16,9
935,18,M,R,GT3,T,2,4,teacher,services,course,mother,3,1,4,yes,yes,no,yes,yes,yes,no,no,4,4,7,4,2,4,12,8
936,15,M,R,LE3,A,2,0,services,teacher,reputation,father,1,8,1,no,no,yes,no,yes,no,yes,yes,2,4,9,5,4,5,7,20
937,16,M,R,GT3,T,2,3,other,teacher,other,father,1,2,2,no,yes,no,yes,no,yes,no,yes,1,2,9,4,5,5,17,4.2
938,15,F,U,LE3,T,2,1,health,teacher,course,father,4,2,2,yes,yes,no,no,yes,no,no,yes,4,3,8,5,5,4,19,8
939,16,M,U,GT3,A,4,3,teacher,other,reputation,father,1,5,1,no,no,no,no,yes,no,no,no,2,5,7,3,5,5,16,11.7
940,16,M,R,LE3,A,1,3,at_home,teacher,reputation,father,1,9,1,yes,no,yes,yes,no,yes,yes,no,3,3,9,1,1,3,0,20
941,18,M,U,LE3,A,3,1,services,other,home,mother,4,2,2,yes,yes,yes,yes,no,no,no,no,3,4,5,4,5,4,20,5
942,15,F,R,GT3,A,3,4,other,services,other,father,3,5,0,yes,yes,no,no,yes,yes,no,no,4,3,6,0,2,0,11,8.5
943,18,M,R,LE3,T,1,2,services,health,course,other,4,2,3,yes,yes,no,no,no,yes,no,yes,3,4,7,5,3,5,27,2.4
944,15,F,U,LE3,A,0,2,at_home,other,home,father,3,2,4,yes,yes,no,no,yes,no,no,yes,3,4,6,4,4,5,29,0.1
945,15,F,U,GT3,A,1,1,other,at_home,other,mother,4,1,2,yes,yes,no,yes,yes,yes,no,yes,3,4,7,5,4,5,21,0.1
946,17,F,U,LE3,T,2,2,at_home,teacher,course,father,1,4,0,no,no,yes,yes,no,yes,yes,no,4,2,6,2,5,4,10,17.6
947,15,F,U,LE3,T,2,0,other,health,reputation,other,3,1,2,yes,yes,yes,no,yes,no,no,no,4,3,7,5,3,5,24,6
948,18,F,R,GT3,A,1,4,health,other,reputation,father,3,2,3,yes,no,no,yes,no,yes,no,yes,5,4,9,4,5,5,18,7
949,16,F,U,LE3,T,1,3,other,at_home,other,other,4,1,2,yes,yes,no,yes,no,no,no,no,5,3,5,5,2,5,11,0.9
950,15,M,U,LE3,A,3,3,at_home,health,home,other,3,5,1,yes,yes,yes,yes,no,no,no,yes,3,3,7,3,4,4,28,1.8
951,17,M,R,LE3,T,3,1,teacher,services,course,mother,1,4,0,no,no,yes,no,no,yes,no,yes,2,1,9,2,5,5,1,18.3
952,18,M,R,LE3,A,4,3,health,other,course,other,3,5,1,yes,no,no,yes,no,no,no,yes,5,4,5,3,3,5,13,5
953,15,F,R,LE3,T,4,0,services,other,reputation,father,4,1,3,yes,yes,no,yes,yes,no,no,no,5,3,7,4,5,5,17,3
954,18,M,R,LE3,A,2,0,health,services,other,other,1,1,3,no,yes,yes,no,yes,no,no,no,2,2,7,4,5,5,23,1.2
955,17,F,U,LE3,A,4,1,health,other,home,father,3,1,4,yes,yes,no,no,yes,no,no,yes,3,3,6,5,4,4,24,1.4
956,17,F,U,LE3,T,4,3,services,teacher,reputation,father,4,5,0,yes,yes,no,no,no,yes,no,yes,4,3,5,3,5,5,14,7.5
957,18,F,R,GT3,T,0,2,other,other,reputation,father,1,1,4,no,no,no,yes,no,yes,no,yes,5,4,9,5,4,4,23,2
958,15,M,R,LE3,A,1,2,health,teacher,home,father,4,1,4,no,yes,no,yes,no,yes,no,no,4,3,8,4,4,4,11,8
959,16,F,U,LE3,A,3,4,health,other,course,mother,2,5,0,yes,no,no,yes,no,yes,yes,no,3,2,9,0,2,2,2,20
960,17,F,U,GT3,T,4,1,teacher,at_home,course,father,2,1,0,yes,yes,no,no,no,no,no,yes,5,1,6,1,2,3,14,5.5
961,15,M,U,LE3,T,3,4,teacher,at_home,other,mother,4,5,0,yes,yes,no,no,yes,no,no,yes,3,3,9,3,3,5,12,3.7
962,15,M,U,LE3,T,4,2,at_home,health,reputation,other,2,5,1,no,no,no,yes,no,no,yes,yes,1,3,4,2,1,4,9,13.9
963,16,F,U,LE3,T,4,2,services,at_home,other,father,4,1,3,yes,yes,no,yes,no,no,yes,yes,1,4,6,1,3,2,9,12.3
964,17,F,R,LE3,T,2,2,other,services,course,other,4,1,2,yes,yes,no,yes,no,yes,no,yes,3,3,4,5,2,4,7,1.3
965,17,M,R,LE3,T,0,4,other,health,home,mother,3,1,3,yes,yes,no,no,yes,yes,no,no,4,4,5,5,3,5,9,8.1
966,15,M,R,LE3,T,1,1,at_home,at_home,course,father,2,2,2,yes,no,yes,no,yes,no,no,yes,3,2,7,4,5,4,29,13.1
967,15,M,R,GT3,T,1,0,other,teacher,course,father,4,2,4,no,yes,yes,yes,yes,no,no,no,5,4,5,4,3,4,26,1.4
968,16,F,U,GT3,T,2,0,other,other,reputation,mother,4,2,2,yes,yes,yes,no,no,no,no,yes,3,3,5,5,4,5,29,0.9
969,16,M,R,GT3,A,2,2,teacher,at_home,course,other,2,6,0,no,no,no,no,no,yes,yes,no,1,3,9,0,3,3,5,19.4
970,17,M,U,GT3,T,1,1,other,teacher,other,mother,2,3,0,yes,no,yes,yes,no,no,yes,no,2,5,7,3,5,4,5,17.1
971,18,M,U,GT3,T,1,1,other,health,home,other,4,1,3,yes,yes,no,yes,yes,yes,no,yes,5,4,3,5,4,5,29,0
972,17,F,U,LE3,A,0,3,at_home,other,reputation,other,2,5,0,no,no,yes,yes,no,yes,yes,no,3,5,5,0,1,5,8,17.5
973,15,M,U,LE3,A,4,3,at_home,at_home,home,other,2,5,0,no,no,yes,yes,no,yes,no,no,4,1,6,0,2,0,7,14.7
974,17,M,U,LE3,A,0,4,health,health,other,father,1,7,1,no,no,yes,yes,yes,no,yes,yes,5,5,7,0,4,4,0,20
975,18,M,U,LE3,A,1,3,other,at_home,other,mother,3,2,4,yes,yes,yes,yes,yes,no,no,no,4,4,8,5,3,4,22,0
976,16,M,U,LE3,A,4,4,other,health,course,father,4,5,0,yes,yes,yes,yes,yes,no,no,no,2,4,8,0,5,3,21,1.2
977,18,M,R,GT3,A,1,0,other,at_home,other,mother,1,1,3,yes,yes,yes,yes,yes,no,no,yes,3,2,6,5,5,5,20,3.4
978,18,F,U,GT3,T,0,2,teacher,teacher,course,other,3,2,2,yes,yes,yes,no,yes,yes,no,no,4,4,5,5,5,4,18,6
979,18,F,R,LE3,A,0,1,other,services,reputation,father,2,10,0,yes,no,yes,yes,yes,yes,yes,no,3,4,8,0,5,1,0,20
980,16,F,R,LE3,A,0,0,teacher,teacher,home,father,2,7,2,yes,no,no,no,yes,yes,yes,no,3,1,7,2,5,5,7,20
981,18,M,U,LE3,A,4,0,health,other,course,father,3,2,2,yes,no,yes,yes,yes,yes,no,yes,2,4,9,4,1,5,14,10.3
982,18,F,U,GT3,T,3,4,services,at_home,course,other,4,5,1,no,yes,no,no,no,yes,no,yes,1,4,8,3,1,5,11,11.3
983,18,F,R,GT3,A,3,2,other,services,reputation,mother,1,7,1,yes,no,yes,yes,yes,yes,yes,yes,5,3,9,3,2,5,2,20
984,15,F,R,LE3,T,1,4,at_home,services,other,other,4,2,3,no,yes,no,no,no,no,no,no,1,3,7,5,5,4,13,10.1
985,18,M,R,GT3,A,4,0,at_home,other,course,father,3,1,2,yes,yes,no,yes,yes,no,no,yes,4,3,5,3,5,5,22,5
986,16,M,R,LE3,A,2,1,other,other,other,father,1,2,2,yes,yes,yes,yes,no,no,no,yes,4,5,6,4,5,4,21,3
987,18,F,U,GT3,T,3,3,teacher,services,course,other,1,5,0,yes,no,yes,no,no,no,yes,no,5,3,9,0,1,4,1,20
988,18,F,U,GT3,T,4,4,at_home,other,other,father,2,5,0,yes,no,yes,no,no,yes,yes,yes,5,4,9,0,5,2,1,20
989,16,M,U,LE3,A,4,0,at_home,other,course,father,4,2,4,yes,yes,no,no,no,yes,no,yes,3,3,8,4,5,5,26,1.6
990,18,M,R,GT3,T,3,3,health,at_home,home,mother,4,5,1,yes,yes,no,yes,yes,no,no,no,4,3,9,0,4,2,18,7.4
991,16,F,U,GT3,T,4,3,health,teacher,home,mother,4,5,0,yes,yes,no,no,yes,yes,no,yes,4,4,5,3,3,4,18,5.3
992,18,M,R,LE3,A,4,0,health,health,home,mother,3,2,2,yes,yes,no,no,no,yes,no,yes,3,4,8,4,5,4,17,7.8
993,16,F,U,GT3,A,3,2,at_home,services,course,mother,3,2,4,no,yes,no,yes,no,yes,no,no,4,3,5,4,3,4,28,9
994,18,M,R,LE3,A,0,0,at_home,health,other,mother,4,1,4,yes,yes,yes,yes,yes,no,no,yes,4,4,7,4,3,4,29,4.5
995,18,F,U,GT3,T,1,1,other,services,reputation,mother,4,1,3,yes,yes,no,yes,yes,no,no,yes,3,3,6,4,3,5,7,9.3
996,15,F,U,LE3,A,2,3,other,services,reputation,father,3,1,2,no,yes,no,yes,yes,yes,yes,no,2,4,5,3,3,5,16,8.2
997,15,M,R,LE3,A,1,1,teacher,teacher,reputation,father,2,8,3,yes,no,yes,no,no,no,yes,no,4,2,6,0,4,3,2,20
998,18,F,R,GT3,T,0,4,at_home,services,home,mother,4,1,3,yes,yes,no,yes,no,yes,no,yes,5,3,9,4,5,5,15,1
999,18,F,R,GT3,T,0,3,other,services,home,other,3,1,3,yes,yes,no,yes,yes,yes,no,no,4,3,7,5,4,4,16,6
1000,17,F,R,LE3,A,4,2,other,teacher,home,mother,1,5,1,yes,no,yes,no,yes,no,yes,no,4,2,6,2,2,4,3,18.8
1001,16,M,R,GT3,T,1,0,health,other,other,father,1,1,4,yes,yes,no,yes,no,no,no,yes,4,4,6,5,4,5,16,4
1002,17,M,U,GT3,A,0,4,health,health,home,other,3,1,4,yes,yes,no,no,yes,yes,no,no,5,3,6,4,4,4,16,9
1003,15,M,R,GT3,T,1,1,health,services,other,other,4,2,4,yes,yes,yes,no,yes,no,no,no,3,4,7,5,4,5,27,0.7
1004,15,F,U,LE3,A,0,4,services,teacher,other,other,2,9,0,no,no,yes,no,yes,yes,no,yes,4,5,7,1,4,4,3,20
1005,15,M,U,LE3,T,2,2,other,services,other,father,1,10,0,no,no,yes,no,no,yes,yes,no,3,1,11,0,3,4,5,20
1006,15,F,U,LE3,T,0,0,health,teacher,course,other,3,2,3,yes,yes,yes,yes,no,no,no,yes,4,3,9,5,4,5,26,3
1007,18,F,U,GT3,T,1,4,health,health,reputation,father,4,1,3,no,yes,no,yes,yes,no,no,yes,1,4,3,5,4,4,21,0.5
1008,15,M,U,GT3,T,4,1,at_home,at_home,other,father,2,2,4,no,yes,no,no,no,no,no,no,5,5,7,5,1,5,11,12
1009,18,M,R,LE3,A,1,4,health,other,reputation,mother,3,1,2,yes,yes,no,no,yes,no,no,yes,5,3,5,4,3,5,19,6
1010,18,F,R,LE3,T,3,0,at_home,at_home,other,father,3,1,0,no,no,yes,yes,no,yes,yes,no,4,3,8,0,2,5,6,18.8
1011,15,F,U,GT3,A,1,4,teacher,teacher,other,other,3,1,2,no,yes,no,no,yes,yes,no,yes,4,4,8,4,3,5,7,13.1
1012,15,M,U,GT3,T,2,1,health,services,home,father,2,2,2,yes,no,yes,yes,no,no,no,yes,5,4,9,5,4,5,17,9
1013,16,M,R,GT3,T,2,0,at_home,other,reputation,father,1,2,3,yes,yes,no,yes,no,yes,no,no,3,1,4,4,5,5,24,4.5
1014,17,M,R,GT3,A,2,2,health,health,other,mother,1,4,1,no,no,yes,no,no,no,yes,no,5,2,7,0,5,5,4,20
1015,15,F,U,LE3,T,0,2,teacher,other,reputation,mother,2,7,0,no,no,yes,yes,yes,yes,yes,no,3,4,7,0,5,5,5,20
1016,16,F,R,GT3,T,2,3,health,services,home,father,4,2,2,yes,yes,no,no,yes,no,no,no,3,3,9,5,4,5,16,5.6
1017,16,F,R,GT3,A,1,4,at_home,at_home,other,father,3,2,4,yes,yes,no,no,no,no,no,yes,4,3,7,5,1,4,12,6
1018,17,F,R,LE3,T,4,1,teacher,teacher,home,father,4,2,2,yes,yes,no,yes,yes,yes,no,yes,3,4,9,5,3,5,14,7.7
1019,18,F,U,LE3,A,2,4,teacher,at_home,other,mother,1,10,0,yes,yes,yes,no,yes,no,yes,no,1,1,6,0,3,4,3,20
1020,15,M,R,GT3,T,1,0,teacher,other,home,mother,3,1,3,yes,yes,yes,yes,no,no,no,yes,4,4,5,5,5,5,22,3
1021,17,M,U,LE3,T,0,3,services,services,home,other,3,1,2,yes,yes,no,yes,yes,no,no,no,4,4,5,1,1,3,5,1.2
1022,15,F,U,GT3,T,0,1,at_home,teacher,course,other,4,1,2,yes,yes,yes,yes,no,no,no,no,1,3,5,5,3,4,29,1.4
1023,16,F,U,GT3,A,4,4,services,services,other,other,1,5,1,yes,no,yes,no,yes,yes,yes,yes,1,3,8,0,1,4,1,20
1024,16,M,U,LE3,T,4,1,teacher,services,other,other,3,1,3,yes,yes,no,yes,no,no,no,yes,5,4,7,2,1,5,6,12.2
1025,18,M,U,LE3,T,1,0,services,other,other,mother,1,4,0,yes,no,yes,no,no,no,yes,no,3,3,8,3,4,5,29,15.6
1026,16,M,R,GT3,T,4,3,health,at_home,reputation,mother,2,5,0,yes,no,yes,yes,no,no,no,yes,1,1,8,0,4,0,24,11.4
1027,16,M,U,LE3,T,4,1,services,services,course,father,1,5,1,no,no,no,yes,yes,yes,yes,no,4,4,6,4,3,4,8,14.3
1028,17,F,U,GT3,T,0,0,other,services,reputation,other,4,1,3,yes,yes,yes,no,no,no,no,no,3,4,5,4,5,5,28,0.9
1029,15,M,U,GT3,T,1,2,teacher,services,other,father,4,1,2,yes,yes,no,no,no,yes,no,no,4,4,7,4,3,4,29,1
1030,15,F,R,GT3,T,4,1,teacher,teacher,course,father,4,1,2,yes,no,no,yes,no,no,no,no,3,3,9,4,3,5,18,5.3
1031,17,M,R,LE3,T,1,3,at_home,services,home,mother,1,1,3,yes,yes,yes,no,no,no,no,yes,3,4,5,4,3,5,21,1.3
1032,18,M,R,GT3,T,2,1,health,services,course,father,2,5,2,yes,no,no,no,yes,no,no,yes,4,4,8,4,3,5,16,2
1033,15,M,R,GT3,A,0,1,at_home,other,home,father,1,10,0,yes,no,yes,no,yes,no,no,yes,2,5,8,2,4,3,3,20
1034,16,F,R,GT3,T,0,0,services,services,other,mother,1,5,0,no,no,yes,no,no,no,yes,no,1,3,6,5,5,5,20,16.1
1035,15,F,R,LE3,A,0,4,other,services,other,mother,2,2,2,yes,yes,yes,no,yes,no,no,no,5,1,3,3,4,5,24,0.1
1036,16,M,R,GT3,A,3,4,other,other,home,mother,1,5,1,yes,no,yes,no,yes,yes,yes,no,2,5,9,0,1,0,2,20
1037,18,F,U,GT3,A,1,1,other,teacher,course,mother,4,2,3,yes,yes,yes,yes,yes,no,no,no,4,4,7,4,5,4,24,7
1038,17,F,U,GT3,T,2,3,other,at_home,reputation,other,2,2,2,yes,yes,yes,no,yes,no,no,yes,4,1,5,4,3,4,29,6
1039,15,M,R,LE3,A,4,3,health,other,course,other,1,5,0,no,no,yes,no,no,yes,yes,no,4,3,8,3,4,5,4,20
1040,17,M,U,GT3,A,2,0,services,teacher,home,other,3,2,3,yes,yes,no,no,no,yes,no,no,3,4,9,4,4,4,15,5.1
1041,15,F,U,GT3,A,1,1,other,at_home,home,father,4,2,3,yes,no,yes,yes,yes,no,no,no,1,3,7,4,3,5,18,6.5
1042,16,F,R,LE3,T,0,1,teacher,services,reputation,other,3,1,1,yes,no,yes,no,no,yes,yes,yes,2,4,11,0,4,5,1,20
1043,17,F,U,LE3,A,3,4,services,other,reputation,mother,1,5,1,yes,no,yes,yes,no,no,yes,no,3,5,7,0,2,3,8,16.7
1044,15,M,U,GT3,T,1,0,health,services,reputation,other,1,5,0,yes,no,yes,no,yes,yes,yes,yes,2,4,6,4,4,4,10,17.2
1045,16,M,R,GT3,A,1,2,other,other,home,mother,4,1,3,yes,yes,no,yes,yes,no,no,no,4,3,6,5,1,5,14,1
1046,17,F,U,GT3,A,4,3,health,at_home,other,other,2,5,0,yes,no,yes,yes,no,yes,no,yes,4,4,9,3,3,5,27,15.2
1047,17,M,R,LE3,T,2,3,other,teacher,course,other,2,2,3,yes,yes,no,yes,yes,yes,no,no,5,5,5,5,5,5,28,8
1048,15,M,R,LE3,T,2,1,teacher,other,reputation,mother,1,2,3,yes,no,yes,yes,no,no,no,yes,3,1,6,0,5,5,26,20
1049,15,F,U,GT3,A,4,0,services,teacher,home,mother,3,2,4,yes,yes,no,yes,no,yes,no,yes,4,3,9,5,1,4,12,1
1050,15,F,U,LE3,A,3,2,teacher,services,course,father,1,9,3,yes,no,yes,no,yes,yes,yes,yes,5,1,7,0,1,5,5,20
1051,16,M,U,GT3,A,0,3,other,services,reputation,father,1,9,0,yes,no,yes,no,yes,no,yes,no,2,5,9,0,5,2,5,20
1052,15,M,R,GT3,T,0,0,at_home,at_home,other,father,4,2,3,yes,yes,yes,no,yes,yes,no,yes,5,3,8,5,4,4,17,5
1053,17,F,R,LE3,T,3,2,services,at_home,course,other,2,4,1,no,no,yes,yes,yes,no,yes,yes,3,1,8,2,3,2,7,17.5
1054,17,M,R,GT3,A,4,1,health,health,course,other,1,8,1,no,no,yes,yes,no,no,yes,yes,1,3,10,2,1,1,4,20
1055,15,M,U,LE3,A,1,4,other,health,home,mother,3,1,2,yes,yes,no,no,yes,yes,no,yes,4,3,5,4,4,4,9,7.4
1056,15,F,U,LE3,T,2,3,teacher,at_home,home,mother,4,1,1,yes,yes,yes,no,no,no,no,yes,3,3,5,5,5,4,21,0.4
